,CustomerID,Has_Transaction_Nov23_May24,Total_Spent_Nov23_May24,Total_Spent_1M,Transaction_Count_1M,Total_Spent_3M,Transaction_Count_3M,Total_Spent_6M,Transaction_Count_6M,Total_Spent_9M,Transaction_Count_9M,Total_Spent_12M,Transaction_Count_12M,Total_Spent_AllTime,Transaction_Count_AllTime,Brand Description_Anthelios,Brand Description_Bundle,Brand Description_Cicaplast,Brand Description_Eau Thermale,Brand Description_Effaclar,Brand Description_Hyalu B5,Brand Description_Lipikar,Brand Description_Niacinamide,Brand Description_Retinol LRP,Brand Description_Serozinc,Brand Description_Toleriane,Brand Description_Uvidea,Brand Description_Vitamin C,Class Description_Anti-Acne,Class Description_Anti-Ageing,Class Description_Body Care,Class Description_Bundle,Class Description_Face Care,Category_Body Care,Category_Face Care,Category_Face Care ,Category_Sun Care,Sub-Category_Body Moisturiser,Sub-Category_Body Wash,Sub-Category_Eye Cream,Sub-Category_Face Cleanser,Sub-Category_Face Mask,Sub-Category_Face Moisturiser,Sub-Category_Face Serum,Sub-Category_Sunscreen,Sub-Category_Tinted Sunscreen,Sub-Category_Toner & Mist,Skin Concern_Acne-Prone Skin,Skin Concern_Anti-Ageing,Skin Concern_Irritation-Prone Skin,Skin Concern_Pigmentation and Dark Spots,Skin Concern_Sun Protection,EAN_TolerianeMoisturiser40ml,EAN_HyaluB5Serum30ml,EAN_EffaclarMoisturiser40ml,EAN_VitaminC10Serum30ml,EAN_RetinolB3Serum30ml,EAN_EffaclarSerum30ml,EAN_AntheliosInvisibleSunscreen50ml,EAN_Pure10NiacinamideSerum,EAN_CicaplastB5BaumeBothSKUs40ml,Post Code,Brand Description_Anthelios_Output,Brand Description_Cicaplast_Output,Brand Description_Effaclar_Output,Brand Description_Hyalu B5_Output,Brand Description_Lipikar_Output,Brand Description_Toleriane_Output,Brand Description_Vitamin C_Output
0,LRP00002,1,119.81,143.0,1,143.0,1,143.0,1,143.0,1,143.0,1,143.0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,4,0,4,0,1,0,0,0,2,0,2,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,1,1
1,LRP00004,1,461.54,0.0,0,0.0,0,189.36,1,189.36,1,189.36,1,189.36,1,0,0,0,0,4,0,0,1,0,1,0,0,0,3,0,1,0,2,0,6,0,0,0,0,1,1,1,1,1,0,0,1,5,0,0,1,0,0,0,1,0,0,1,0,0,0,,0,1,1,1,1,1,1
2,LRP00008,1,38.41,0.0,0,0.0,0,161.59,1,161.59,1,161.59,1,161.59,1,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,1,3,0,0,1,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,1,,1,0,1,0,0,0,0
3,LRP00009,1,168.25,73.62,1,73.62,1,73.62,1,73.62,1,73.62,1,73.62,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0
4,LRP00012,1,82.28,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,88.85,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,0
5,LRP00017,1,79.95,115.12,1,115.12,1,378.1,3,564.34,4,564.34,4,564.34,4,0,0,0,0,2,1,0,4,1,0,0,0,1,2,3,0,0,4,0,5,4,0,0,0,0,0,0,1,8,0,0,0,2,3,0,4,0,0,1,1,1,1,1,0,4,0,,0,0,1,0,0,1,0
6,LRP00021,1,56.61,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,131.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4113.0,0,0,1,0,0,0,1
7,LRP00024,1,192.85,107.9,1,107.9,1,107.9,1,107.9,1,107.9,1,107.9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0
8,LRP00027,1,139.8,0.0,0,0.0,0,70.85,1,70.85,1,114.75,2,114.75,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
9,LRP00042,1,151.9,105.7,1,105.7,1,105.7,1,105.7,1,105.7,1,105.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,1,1,0,0,0,0,1
10,LRP00066,1,112.84,0.0,0,0.0,0,0.0,0,96.85,1,96.85,1,96.85,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0
11,LRP00076,1,38.41,45.9,1,45.9,1,45.9,1,45.9,1,45.9,1,45.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
12,LRP00086,1,116.85,0.0,0,0.0,0,162.75,2,162.75,2,162.75,2,162.75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
13,LRP00093,1,129.56,131.81,1,131.81,1,131.81,1,131.81,1,131.81,1,131.81,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,1
14,LRP00095,1,117.71,123.96,1,123.96,1,123.96,1,223.0,2,223.0,2,274.8,3,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,2,0,2,1,3,0,1,1,0,0,0,1,1,1,1,0,0,1,1,2,0,1,0,0,1,0,0,0,1,0,1,,0,1,0,1,0,0,1
15,LRP00096,1,101.9,51.96,1,51.96,1,51.96,1,51.96,1,51.96,1,51.96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,1,0
16,LRP00099,1,211.7,98.8,2,98.8,2,158.11,3,158.11,3,158.11,3,158.11,3,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,4,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,,1,1,1,0,0,1,1
17,LRP00101,1,77.85,0.0,0,303.5,2,303.5,2,303.5,2,303.5,2,303.5,2,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,3,0,2,1,3,0,1,0,1,0,0,1,0,2,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0
18,LRP00105,1,67.4,88.72,1,88.72,1,88.72,1,88.72,1,88.72,1,305.9,3,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2,0,2,0,3,0,0,0,0,0,0,1,2,1,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,,1,1,0,0,0,1,0
19,LRP00107,1,107.85,91.84,1,216.76,2,216.76,2,216.76,2,216.76,2,216.76,2,0,0,0,2,0,0,0,1,0,2,1,0,0,0,0,2,0,4,0,6,0,0,0,0,1,1,0,0,0,0,0,4,2,0,3,1,0,0,0,0,0,0,0,0,0,0,3006.0,1,0,0,0,0,0,1
20,LRP00109,1,149.9,0.0,0,0.0,0,0.0,0,152.88,1,152.88,1,152.88,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,,1,0,1,0,0,0,0
21,LRP00113,1,102.46,60.72,1,60.72,1,60.72,1,60.72,1,60.72,1,60.72,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2250.0,1,0,0,0,0,1,0
